Analysis,Lithology (Name given by cited author),Lithology (Lithology Code see explanati...),Description (Data Type),Reference,Th [mg/kg],U [mg/kg],La [mg/kg],Ce [mg/kg],Pr [mg/kg],Sr [mg/kg],Nd [mg/kg],Sm [mg/kg],Eu [mg/kg],Gd [mg/kg],Tb [mg/kg],Dy [mg/kg],Y [mg/kg],Ho [mg/kg],Er [mg/kg],Tm [mg/kg],Yb [mg/kg],Lu [mg/kg],Mn [mg/kg],Ba [mg/kg],Sm norm,Eu norm,Gd norm,Tb norm,Eu norm (Anom Arithmetic),Eu norm (EuAnom Shields and Stille (2...),Eu norm (EuAnom Lawrence and Kamber (2...),LREE norm (La-Nd),Sr/Y,Imputed_Tb,Imputed_Dy,Imputed_Tm,Imputed_Y,Imputed_Ho,Imputed_Nd,Imputed_Er,Imputed_La,Imputed_Pr,Imputed_Sm,Imputed_Gd,Imputed_Yb,Imputed_Lu
GraniteSquirrel1,Mafic I-type granite,IM,Average,Belousova et al. 2001,121,27,2363,3988,393,134,1347,194,23,177,,148,958,29,85,12,79,13,203,,1310.8,408.5,889.4,,0.371,0.378,,8091,0.14,NA,148,12,958,29,1347,85,2363,393,194,177,79,13
GraniteSquirrel2,Mafic I-type granite,IM,Average,Belousova et al. 2001,110,37,1976,3790,372,108,1210,166,24,147,,116,868,25,78,11,80,15,222,,1121.6,426.3,738.7,,0.458,0.468,,7348,0.124,NA,116,11,868,25,1210,78,1976,372,166,147,80,15
GraniteSquirrel3,Mafic I-type granite,IM,Average,Belousova et al. 2001,85,36,1790,4036,446,88,1492,212,27,177,,140,1054,32,90,14,95,16,220,,1432.4,479.6,889.4,,0.413,0.425,,7764,0.083,NA,140,14,1054,32,1492,90,1790,446,212,177,95,16
GraniteSquirrel4,Mafic I-type granite,IM,Average,Belousova et al. 2001,46,7,1389,3972,554,50,2335,477,25,480,,358,2649,72,201,29,198,33,159,,3223,444,2412.1,,0.158,0.159,,8250,0.019,NA,358,29,2649,72,2335,201,1389,554,477,480,198,33
GraniteSquirrel5,Mafic I-type granite,IM,Average,Belousova et al. 2001,209,26,3329,4938,477,218,1615,219,40,195,,135,829,28,73,9,57,10,340,,1479.7,710.5,979.9,,0.578,0.59,,10359,0.263,27.09343686,135,9,829,28,1615,73,3329,477,219,195,57,10
GraniteWimburu1,Mafic I-type granite,IM,Average,Belousova et al. 2001,142,28,2562,6259,696,46,2261,335,26,306,,247,1795,54,159,23,163,27,393,,2263.5,461.8,1537.7,,0.243,0.248,,11778,0.026,NA,247,23,1795,54,2261,159,2562,696,335,306,163,27
GraniteWimburu2,Mafic I-type granite,IM,Average,Belousova et al. 2001,158,59,2230,3959,394,145,1274,161,31,146,,109,828,25,73,10,73,14,221,,1087.8,550.6,733.7,,0.605,0.616,,7857,0.175,NA,109,10,828,25,1274,73,2230,394,161,146,73,14
GraniteWimburu3,Mafic I-type granite,IM,Average,Belousova et al. 2001,109,39,1639,3282,354,170,1210,171,29,159,,127,939,28,84,12,89,18,130,,1155.4,515.1,799,,0.527,0.536,,6485,0.181,NA,127,12,939,28,1210,84,1639,354,171,159,89,18
GraniteWimburu4,Mafic I-type granite,IM,Average,Belousova et al. 2001,63,17,1478,1857,154,342,447,56,12,52,,41,267,8,21,2,19,2,320,,378.4,213.1,261.3,,0.666,0.678,,3936,1.281,7.065314962,41,2,267,8,447,21,1478,154,56,52,19,2
GraniteMtAngelay1,Mafic I-type granite,IM,Average,Belousova et al. 2001,64,14,1628,3641,431,218,1589,241,24,207,,147,896,31,83,10,66,11,81,,1628.4,426.3,1040.2,,0.319,0.328,,7289,0.243,29.35383656,147,10,896,31,1589,83,1628,431,241,207,66,11
GraniteMtAngelay2,Mafic I-type granite,IM,Average,Belousova et al. 2001,26,35,1814,2703,235,229,728,93,16,102,,89,516,19,53,6,37,6,101,,628.4,284.2,512.6,,0.498,0.501,,5480,0.444,15.61077393,89,6,516,19,728,53,1814,235,93,102,37,6
GraniteMtAngelay3,Mafic I-type granite,IM,Average,Belousova et al. 2001,210,60,3161,6732,598,160,1844,169,28,125,,86,704,19,58,9,75,14,193,,1141.9,497.3,628.1,,0.562,0.587,,12335,0.227,NA,86,9,704,19,1844,58,3161,598,169,125,75,14
Jiuzhou,S-type Granite,S,Average,Hsieh et al. 2008,,,420,1426,229,65.3,1123,472,2.93,605,121,732,3698,137,323,41.1,244,29.7,3074,,3189.2,52,3040.2,3351.8,0.017,0.017,0.016,3198,0.018,121,732,41.1,3698,137,1123,323,420,229,472,605,244,29.7
Taima,S-type Granite,S,Average,Hsieh et al. 2008,,,749,2338,323,48.7,1395,529,2.01,647,137,893,4391,175,438,57.7,347,40.7,3313,,3574.3,35.7,3251.3,3795,0.01,0.01,0.01,4805,0.011,137,893,57.7,4391,175,1395,438,749,323,529,647,347,40.7
PUMai1,S-type Granite,S,Average,Hsieh et al. 2008,,,391,1328,210,49.9,987,420,3.85,503,108,694,3372,139,365,50.6,324,40.9,2448,,2837.8,68.4,2527.6,2991.7,0.025,0.026,0.024,2916,0.015,108,694,50.6,3372,139,987,365,391,210,420,503,324,40.9
PUMai2,S-type Granite,S,Average,Hsieh et al. 2008,,,369,1179,195,60.7,995,454,6.23,583,131,792,3722,142,336,43,266,31,2403,,3067.6,110.7,2929.6,3628.8,0.037,0.037,0.034,2738,0.016,131,792,43,3722,142,995,336,369,195,454,583,266,31
Nadong1,S-type Granite,S,Average,Hsieh et al. 2008,,,597,1990,312,47.8,1582,622,2.48,827,167,1030,5384,202,500,58.6,326,35.9,2773,,4202.7,44,4155.8,4626,0.011,0.011,0.01,4481,0.009,167,1030,58.6,5384,202,1582,500,597,312,622,827,326,35.9
Nadong2,S-type Granite,S,Average,Hsieh et al. 2008,,,606,1881,301,27.9,1554,675,30.5,876,184,1121,5974,217,524,63.6,365,41.2,8116,,4560.8,541.7,4402,5097,0.121,0.121,0.114,4342,0.005,184,1121,63.6,5974,217,1554,524,606,301,675,876,365,41.2
Nadong3,S-type Granite,S,Average,Hsieh et al. 2008,,,548,2075,307,18.6,1361,592,2.57,692,151,911,4243,166,404,54.7,355,37.5,5451,,4000,45.6,3477.4,4182.8,0.012,0.012,0.011,4291,0.004,151,911,54.7,4243,166,1361,404,548,307,592,692,355,37.5
Zudi,Mafic I-type granite,IM,Average,Hsieh et al. 2008,,,1141,3012,387,359,1645,316,12.8,303,36,189,979,35.5,85.9,10.9,62.6,8.18,669,,2135.1,227.4,1522.6,997.2,0.124,0.126,0.137,6185,0.367,36,189,10.9,979,35.5,1645,85.9,1141,387,316,303,62.6,8.18
Changtai,Mafic I-type granite,IM,Average,Hsieh et al. 2008,,,1623,3581,435,249,1906,357,16.3,309,35.1,179,841,31.4,73.8,8.36,50,6.37,810,,2412.2,289.5,1552.8,972.3,0.146,0.15,0.162,7545,0.296,35.1,179,8.36,841,31.4,1906,73.8,1623,435,357,309,50,6.37
Danyang,Mafic I-type granite,IM,Average,Hsieh et al. 2008,,,1489,2912,304,97,1156,224,9.29,225,26.1,139,707,26.2,64.5,7.51,45.8,6.22,1114,,1513.5,165,1130.7,723,0.125,0.126,0.139,5861,0.137,26.1,139,7.51,707,26.2,1156,64.5,1489,304,224,225,45.8,6.22
Fuzhou,Mafic I-type granite,IM,Average,Hsieh et al. 2008,,,567,2038,313,81.3,1519,510,17.6,554,100,621,3432,119,306,41.8,281,35.1,2908,,3445.9,312.6,2783.9,2770.1,0.1,0.101,0.098,4437,0.024,100,621,41.8,3432,119,1519,306,567,313,510,554,281,35.1
Yanqian,Mafic I-type granite,IM,Average,Hsieh et al. 2008,,,3312,5887,514,260,1634,196,29.4,254,19.5,107,726,23.7,67.3,10,68.1,11.6,2027,,1324.3,522.2,1276.4,540.2,0.402,0.402,0.532,11347,0.358,19.5,107,10,726,23.7,1634,67.3,3312,514,196,254,68.1,11.6
