Variable,Unit,Description
Dataset,,"Subset of data: Barren, River, Deposit or GEOROC."
Reference,,References for the data
rowid,,Internal ID
District,,Major district that the zircon belongs
Deposit/Batholith,,"Deposit, major batholith, or intrusive complex name"
Suite,,"Suite name, if available"
Unit,,Unit name if available
Temporality,,"Zircon crystalization regarding the main mineralization event, if applicable"
ID,,Sample name + spot number
Sample,,Sample ID
Spot,,Spot analysis ID
Comments,,Comments: mainly reconciliation of units
Position,,"Analysed on the rim or core, if reported"
Granite_Type,,"S or I type granite, if applicable"
Composition,,"Composition of host rock, if reported"
River,,"River name, for the river subset"
Continent,,Continent
P,ppm,Element analysis on zircon
Sr,ppm,Element analysis on zircon
Y,ppm,Element analysis on zircon
La,ppm,Element analysis on zircon
Ce,ppm,Element analysis on zircon
Pr,ppm,Element analysis on zircon
Nd,ppm,Element analysis on zircon
Sm,ppm,Element analysis on zircon
Eu,ppm,Element analysis on zircon
Gd,ppm,Element analysis on zircon
Tb,ppm,Element analysis on zircon
Dy,ppm,Element analysis on zircon
Ho,ppm,Element analysis on zircon
Er,ppm,Element analysis on zircon
Tm,ppm,Element analysis on zircon
Yb,ppm,Element analysis on zircon
Lu,ppm,Element analysis on zircon
Th,ppm,Element analysis on zircon
U,ppm,Element analysis on zircon
Hf,ppm,Element analysis on zircon
Ti,ppm,Element analysis on zircon
V,ppm,Element analysis on zircon
Cr,ppm,Element analysis on zircon
Co,ppm,Element analysis on zircon
Ni,ppm,Element analysis on zircon
Cu,ppm,Element analysis on zircon
Pb,ppm,Element analysis on zircon
Zr,ppm,Element analysis on zircon
Nb,ppm,Element analysis on zircon
Ta,ppm,Element analysis on zircon
Al,ppm,Element analysis on zircon
Ba,ppm,Element analysis on zircon
Ba,ppm,Element analysis on zircon
Sc,ppm,Element analysis on zircon
Fe,ppm,Element analysis on zircon
Ge,ppm,Element analysis on zircon
As,ppm,Element analysis on zircon
Mo,ppm,Element analysis on zircon
Sn,ppm,Element analysis on zircon
Li,ppm,Element analysis on zircon
Mg,ppm,Element analysis on zircon
Si,ppm,Element analysis on zircon
Y,ppm,Element analysis on zircon
HfO (wt.%),Wt. %,Hf oxide analysis on zircon
Zr_Age_Ma,Ma,"Individual spot age, if reporter"
Zr_Age_2SE_Ma,Ma,"Individual spot uncertainty, if reported"
Imputed_La,ppm,"Imputed REE following Carrasco-Godoy and Campbell, 2023"
Imputed_Pr,ppm,"Imputed REE following Carrasco-Godoy and Campbell, 2023"
Imputed_Y,ppm,"Imputed REE following Carrasco-Godoy and Campbell, 2023"
Imputed_Nd,ppm,"Imputed REE following Carrasco-Godoy and Campbell, 2023"
Imputed_Gd,ppm,"Imputed REE following Carrasco-Godoy and Campbell, 2023"
Imputed_Tb,ppm,"Imputed REE following Carrasco-Godoy and Campbell, 2023"
Imputed_Ho,ppm,"Imputed REE following Carrasco-Godoy and Campbell, 2023"
Imputed_Er,ppm,"Imputed REE following Carrasco-Godoy and Campbell, 2023"
Imputed_Tm,ppm,"Imputed REE following Carrasco-Godoy and Campbell, 2023"
Imputed_Yb,ppm,"Imputed REE following Carrasco-Godoy and Campbell, 2023"
Imputed_Sm,ppm,"Imputed REE following Carrasco-Godoy and Campbell, 2023"
Imputed_Dy,ppm,"Imputed REE following Carrasco-Godoy and Campbell, 2023"
Imputed_Lu,ppm,"Imputed REE following Carrasco-Godoy and Campbell, 2023"
Calculated_La,ppm,"Calculated REE following Carrasco-Godoy and Campbell, 2023"
Calculated_Ce,ppm,"Calculated REE following Carrasco-Godoy and Campbell, 2023"
Calculated_Pr,ppm,"Calculated REE following Carrasco-Godoy and Campbell, 2023"
Onuma_r.squared,,Imputation model parameter: r-squared
Onuma_Intercept,,Imputation model parameter: parabola intercept
Onuma_X1,,"Imputation model parameter: parabola a term ""b"""
Onuma_X2,,"Imputation model parameter: parabola a term ""a"""
Eu/Eu*,,Eu anomaly
Ce/Ce* Calc,,"Ce anomaly calculated Carrasco-Godoy and Campbell, 2023"
ml_classes,,Zircon fertility label: Fertile or Barren
