Reference,Complete Reference
[12265] ZHENG JIAN-PING (2004),"[12265] ZHENG JIAN-PING, GRIFFIN W. L., O^REILLY S. Y., LU FENGXIANG, YU CHUN-MEI, ZHANG MING, LI HUIMIN:    U-PB AND HF-ISOTOPE ANALYSIS OF ZIRCONS IN MAFIC XENOLITHS FROM FUXIAN KIMBERLITES: EVOLUTION OF THE LOWER CRUST BENEATH THE NORTH CHINA CRATON    CONTRIB. MINERAL. PETROL. 148   [2004]  79-103    doi: 10.1007/s00410-004-0587-x"
[12361] ZHENG JIAN-PING (2006),"[12361] ZHENG JIAN-PING, GRIFFIN W. L., O^REILLY S. Y., YANG JINGSUI, ZHANG RUTH Y.:    A REFRACTORY MANTLE PROTOLITH IN AYOUNGER CONTINENTAL CRUST, EAST-CENTRAL CHINA: AGE AND COMPOSITION OF ZIRCON IN THE SULU ULTRAHIGH-PRESSURE PERIDOTITE    GEOLOGY 34   [2006]  705-708    doi: 10.1130/G22569.1"
[13876] ZHANG SHUAN-HONG (2009),"[13876] ZHANG SHUAN-HONG, ZHAO YUE, YANG ZHENYU, HE ZHE-FENG, WU HAI:    THE 1.35 GA DIABASE SILLS FROM THE NORTHERN CHINA CRATON: IMPLICATIONS FOR BREAKUP OF THE COLUMBIA (NUN) SUPERCONTINENT    EARTH PLANET. SCI. LETT. 288   [2009]  588-600    doi: 10.1016/j.epsl.2009.10.023"
[14448] SCHMITT A. K. (2010),"[14448] SCHMITT A. K., WETZEL F., COOPER KARI M., ZOU HAIBO, WÖRNER G.:    MAGMATIC LONGEVITY OF LAACHER SEE VOLCANO (EIFEL, GERMANY) INDICATED BY U-TH DATING OF INTRUSIVE CARBONATITES    J. PETROL. 51   [2010]  1053-1085    doi: 10.1093/petrology/egq011"
[15288] DONNELLY C. L. (2011),"[15288] DONNELLY C. L., GRIFFIN W. L., O^REILLY S. Y., PEARSON N. J., SHEE S. R.:    THE KIMBERLITES AND RELATED ROCKS OF THE KURUMAN KIMBERLITE PROVINCE, KAAPVAAL CRATON, SOUTH AFRICA    CONTRIB. MINERAL. PETROL. 161   [2011]  351-371    GeoReM-id: 6120   doi: 10.1007/s00410-010-0536-9"
[15798] STELTEN M. E. (2012),"[15798] STELTEN M. E., COOPER KARI M.:    CONSTRAINTS ON THE NATURE OF THE SUBVOLCANIC RESERVOIR AT SOUTH SISTER VOLCANO, OREGON FROM U-SERIES DATING COMBINED WITH SUB-CRYSTAL TRACE-ELEMENT ANALYSIS OF PLAGIOCLASE AND ZIRCON    EARTH PLANET. SCI. LETT. 313-314   [2012]  1-11    GeoReM-id: 6517   doi: 10.1016/j.epsl.2011.10.035"
[16410] NIKITINA L. P. (2012),"[16410] NIKITINA L. P., MARIN YU. B., SKUBLOV S. G., KOROLEV N. M., SALTYKOVA A. K., ZINCHENKO V. N., CHISSUPA H. M.:    U-PB AGE AND GEOCHEMISTRY OF ZIRCON FROM MANTLE XENOLITHS OF THE KATOKA AND KAT-115 KIMBERLITIC PIPES (REPUBLIC OF ANGOLA)    DOKL. EARTH SCI. 445   [2012]  840-844    doi: 10.1134/S1028334X12070069"
[16578] ZHENG JIAN-PING (2006),"[16578] ZHENG JIAN-PING, GRIFFIN W. L., O^REILLY S. Y., ZHANG MING, PEARSON N. J.:    ZIRCONS IN MANTLE XENOLITHS RECORD THE TRIASSIC YANGTZE-NORTH CHINA CONTINENTAL COLLISION    EARTH PLANET. SCI. LETT. 247   [2006]  130-142    doi: 10.1016/j.epsl.2006.05.011"
[16790] KITAJIMA K. (2012),"[16790] KITAJIMA K., USHIKUBO T., KITA N. T., MARUYAMA S., VALLEY J. W.:    RELATIVE RETENTION OF TRACE ELEMENT AND OXYGEN ISOTOPE RATIOS IN ZIRCON FROM ARCHEAN RHYOLITE, PANORAMA FORMATION, NORTH POLE DOME, PILBARA CRATON, WESTERN AUSTRALIA    CHEM. GEOL. 332-333   [2012]  102-115    GeoReM-id: 6773   doi: 10.1016/j.chemgeo.2012.09.019"
[17110] WANG QIANG (2012),"[17110] WANG QIANG, CHUNG SUN-LIN, LI XIAN-HUA, WYMAN D. A., LI ZHENG-XIANG, SUN WEI-DONG, QIU HUA-NING, LIU YONG-SHENG, ZHU YING-TANG:    CRUSTAL MELTING AND FLOW BENEATH NORTHERN TIBET: EVIDENCE FROM MID-MIOCENE TO QUATERNARY STRONGLY PERALUMINOUS RHYOLITES IN THE SOUTHERN KUNLUN RANGE    J. PETROL. 53   [2012]  2523-2566    GeoReM-id: 6971   doi: 10.1093/petrology/egs058"
